System ID,Qty.
210000016912,-1
210000016962,-1
210000017052,-1
210000017212,-1
210000017231,-1
210000017286,-1
210000017299,-1
210000017303,-1
210000017366,-1
210000017605,-1
210000017654,-1
210000017722,-1
210000017731,-1
210000018291,-1
210000018308,-1
210000018309,-1
210000018320,-1
210000018323,-1
210000018367,-1
210000018484,-1
210000018502,-1
210000018503,-1
210000018520,-1
210000018521,-1
210000018522,-1
210000018523,-1
210000018529,-1
210000018531,-1
210000018537,-1
210000018858,-1
210000018869,-1
210000018967,-1
210000019057,-1
210000019063,-1
210000019082,-1
210000019165,-1
210000019342,-1
210000019343,-1
210000019414,-1
210000019526,-1
210000019690,-1
210000019734,-1
210000019831,-1
210000019856,-1
210000019937,-1
210000020087,-1
210000020511,-1
210000021168,-1
210000000001,0
210000000006,0
210000000010,0
210000000039,0
210000000143,0
210000000163,0
210000000169,0
210000000177,0
210000000180,0
210000000191,0
210000000197,0
210000000202,0
210000000204,0
210000000206,0
210000000211,0
210000000212,0
210000000218,0
210000000225,0
210000000226,0
210000000228,0
210000000229,0
210000000231,0
210000000232,0
210000000233,0
210000000234,0
210000000236,0
210000000237,0
210000000238,0
210000000240,0
210000000242,0
210000000243,0
210000000244,0
210000000245,0
210000000246,0
210000000248,0
210000000249,0
210000000250,0
210000000251,0
210000000252,0
210000000253,0
210000000254,0
210000000257,0
210000000258,0
210000000259,0
210000000260,0
210000000262,0
210000000263,0
210000000264,0
210000000266,0
210000000267,0
210000000275,0
210000000277,0
210000000278,0
210000000279,0
210000000280,0
210000000281,0
210000000282,0
210000000283,0
210000000284,0
210000000285,0
210000000286,0
210000000287,0
210000000289,0
210000000290,0
210000000291,0
210000000292,0
210000000293,0
210000000294,0
210000000296,0
210000000297,0
210000000298,0
210000000308,0
210000000311,0
210000000313,0
210000000316,0
210000000321,0
210000000339,0
210000000345,0
210000000350,0
210000000373,0
210000000375,0
210000000376,0
210000000377,0
210000000379,0
210000000380,0
210000000381,0
210000000382,0
210000000384,0
210000000388,0
210000000389,0
210000000390,0
210000000391,0
210000000392,0
210000000393,0
210000000394,0
210000000395,0
210000000396,0
210000000397,0
210000000398,0
210000000399,0
210000000400,0
210000000606,0
210000000658,0
210000000659,0
210000000660,0
210000000661,0
210000000662,0
210000000663,0
210000000664,0
210000000665,0
210000000666,0
210000000667,0
210000000668,0
210000000671,0
210000000672,0
210000000673,0
210000000674,0
210000000675,0
210000000677,0
210000000679,0
210000000680,0
210000000681,0
210000000682,0
210000000683,0
210000000684,0
210000000685,0
210000000686,0
210000000687,0
210000000688,0
210000000689,0
210000000690,0
210000000692,0
210000000693,0
210000000694,0
210000000695,0
210000000696,0
210000000697,0
210000000698,0
210000000700,0
210000000701,0
210000000702,0
210000000703,0
210000000704,0
